date,geography,geography code,Rural Urban,Distance travelled to work: All categories: Distance travelled to work; measures: Value,Distance travelled to work: Less than 2km; measures: Value,Distance travelled to work: 2km to less than 5km; measures: Value,Distance travelled to work: 5km to less than 10km; measures: Value,Distance travelled to work: 10km to less than 20km; measures: Value,Distance travelled to work: 20km to less than 30km; measures: Value,Distance travelled to work: 30km to less than 40km; measures: Value,Distance travelled to work: 40km to less than 60km; measures: Value,Distance travelled to work: 60km and over; measures: Value,Distance travelled to work: Work mainly at or from home; measures: Value,Distance travelled to work: Other; measures: Value,Distance travelled to work: Total distance (km); measures: Value,Distance travelled to work: Average distance (km); measures: Value
2011,Darlington,E06000005,Total,49014,11433,12516,4226,5552,4410,793,1234,1502,4180,3168,653156.6,15.7
2011,County Durham,E06000047,Total,227894,36588,31877,38010,51191,19810,6846,2222,5704,20652,14994,3340279.1,17.4
2011,Hartlepool,E06000001,Total,37767,8452,10557,3406,5707,1684,681,489,1154,2473,3164,510743.3,15.9
2011,Middlesbrough,E06000002,Total,54547,10393,15799,11414,4137,1281,642,848,1733,3337,4963,647126,14
2011,Northumberland,E06000057,Total,146901,25944,14491,19568,30255,12969,5666,4162,5593,17894,10359,2543379.8,21.4
2011,Redcar and Cleveland,E06000003,Total,56354,8750,8270,11667,12544,1988,956,1050,1888,4034,5207,808646.6,17.2
2011,Stockton-on-Tees,E06000004,Total,87122,13975,19480,20574,11715,2257,1232,1730,2827,6376,6956,1176853,15.9
2011,Gateshead,E08000037,Total,91877,14252,22692,22674,14411,2431,509,771,2135,6383,5619,1116305.3,14
2011,Newcastle upon Tyne,E08000021,Total,119335,21999,33608,26977,10924,3161,656,1255,3691,8430,8634,1566867.1,15.3
2011,North Tyneside,E08000022,Total,96026,16314,21840,21618,16995,1658,467,806,2639,6997,6692,1277122.1,15.5
2011,South Tyneside,E08000023,Total,64622,11255,14699,15020,9943,1451,292,595,1902,3875,5590,887100.1,16.1
2011,Sunderland,E08000024,Total,121511,22817,30020,25463,19077,2876,1465,633,3112,7705,8343,1546183.9,14.7
2011,Blackburn with Darwen,E06000008,Total,60523,14083,14124,8256,8609,2796,1634,635,1341,4930,4115,644785.8,12.5
