msoa_code,imd15_score
E02000001,13.60
E02000002,38.50
E02000003,25.70
E02000004,24.77
E02000005,32.53
E02000007,40.73
E02000008,35.82
E02000009,35.98
E02000010,37.67
E02000011,25.88
E02000012,20.06
E02000013,38.54
E02000014,39.22
E02000015,43.24
E02000016,35.92
E02000017,28.69
E02000018,38.63
E02000019,34.89
E02000020,33.47
E02000021,33.12
E02000022,41.71
E02000023,41.85
E02000024,10.76
E02000025,16.75
E02000026,11.45
E02000027,25.65
E02000028,14.33
E02000029,17.48
E02000030,14.43
E02000031,11.36
E02000032,9.32
E02000033,18.99
E02000034,15.40
E02000035,15.58
E02000036,18.21
E02000037,15.42
E02000038,17.58
E02000039,12.79
E02000040,18.99
E02000041,18.49
E02000042,16.46
E02000043,7.49
E02000044,26.74
E02000045,23.18
E02000046,12.99
E02000047,29.13
E02000048,14.31
E02000049,39.86
E02000050,19.84
E02000051,11.61
E02000052,13.70
E02000053,21.74
E02000054,16.75
E02000055,18.50
E02000056,8.26
E02000057,14.30
E02000058,11.17
E02000059,26.84
E02000060,14.11
E02000061,14.72
E02000062,33.58
E02000063,24.64
E02000064,24.81
E02000065,21.86
E02000066,30.84
E02000067,26.38
E02000068,26.34
E02000069,19.73
E02000070,12.91
E02000071,17.39
E02000072,33.68
E02000073,8.68
E02000074,29.13
E02000075,8.90
E02000077,13.83
E02000078,9.56
E02000079,13.22
E02000080,12.74
E02000081,15.35
E02000082,9.28
E02000083,21.00
E02000084,8.74
E02000085,11.26
E02000086,6.88
E02000087,7.32
E02000088,8.09
E02000089,6.61
E02000090,10.79
E02000091,12.36
E02000092,28.39
E02000093,18.31
E02000094,18.95
E02000095,19.75
E02000096,11.23
E02000097,19.19
E02000098,20.93
E02000099,18.84
E02000100,12.57
E02000101,28.85
E02000102,31.55
E02000103,27.77
E02000104,22.59
E02000105,22.80
E02000106,34.63
E02000107,26.50
E02000108,20.85
E02000109,21.74
E02000110,21.79
E02000111,23.09
E02000112,23.64
E02000113,47.05
E02000114,25.53
E02000115,24.40
E02000116,38.82
E02000117,44.09
E02000118,24.51
E02000119,46.77
E02000120,25.88
E02000121,23.45
E02000122,17.48
E02000123,41.65
E02000124,22.39
E02000125,20.00
E02000126,44.16
E02000127,35.96
E02000128,13.53
E02000130,19.74
E02000131,26.95
E02000132,16.99
E02000133,6.54
E02000134,16.92
E02000135,40.12
E02000136,20.56
E02000137,8.83
E02000138,6.58
E02000139,13.63
E02000140,36.64
E02000141,18.49
E02000142,8.21
E02000144,9.58
E02000145,36.97
E02000146,10.30
E02000147,4.75
E02000148,6.72
E02000149,22.24
E02000150,11.71
E02000151,3.72
E02000152,26.86
E02000153,5.22
E02000154,12.30
E02000155,17.64
E02000156,6.52
E02000157,5.73
E02000158,20.14
E02000159,7.06
E02000160,7.93
E02000161,5.00
E02000162,13.55
E02000163,7.59
E02000165,9.68
E02000166,23.03
E02000167,9.18
E02000168,21.31
E02000169,8.62
E02000170,16.26
E02000171,17.78
E02000172,39.27
E02000173,12.43
E02000174,29.03
E02000175,21.15
E02000176,11.99
E02000177,33.50
E02000178,32.55
E02000179,19.18
E02000180,30.42
E02000181,16.05
E02000182,17.97
E02000183,22.57
E02000184,36.50
E02000185,37.29
E02000186,29.28
E02000187,40.32
E02000188,30.85
E02000189,33.95
E02000190,25.85
E02000191,18.00
E02000192,29.21
E02000193,22.70
E02000194,23.76
E02000195,16.59
E02000196,25.87
E02000197,23.34
E02000198,30.72
E02000199,24.77
