la_code,name,imd_2015,pcsmoke_12,pcsmoke_13,pcsmoke_14,pcsmoke_15,pc_pa_12,pc_pa_13,pc_pa_14,pc_pa_15,excess_wt_12_14,dm_10_11,dm_10_11,dm_10_11,dm_10_11,dm_10_11
E06000001,Hartlepool,33.18,28.14,23.99,23.60,22.78,49.73,47.11,51.17,50.38,73.24517337,5.46,5.72,6.02,6.17,6.30
E06000002,Middlesbrough,40.22,24.88,23.12,21.21,20.75,52.20,49.33,52.76,51.33,69.7445014,5.38,5.66,5.91,6.06,6.18
E06000003,Redcar and Cleveland,28.57,21.50,21.81,18.74,17.29,54.03,55.70,49.61,50.49,71.28525174,6.04,6.26,6.51,6.70,6.89
E06000004,Stockton-on-Tees,24.63,20.25,19.41,19.60,18.36,54.03,58.41,53.94,47.81,69.83297211,5.18,5.42,5.72,5.96,6.14
E06000005,Darlington,23.64,19.45,19.24,19.16,17.89,53.28,52.86,55.96,56.50,64.90726603,6.25,6.43,6.68,6.79,6.83
E06000006,Halton,31.94,21.31,19.36,16.39,20.09,49.81,51.49,48.39,48.45,73.84542239,6.79,6.97,7.20,7.34,7.56
E06000007,Warrington,19.31,18.43,16.40,14.53,14.80,57.58,54.78,53.45,57.49,69.10146323,5.98,5.90,6.10,6.16,6.23
E06000008,Blackburn with Darwen,34.19,24.35,22.01,23.68,21.33,47.99,51.41,48.83,48.69,66.50945548,6.67,6.83,7.10,7.57,8.12
E06000009,Blackpool,42.00,27.71,26.99,26.85,25.27,48.17,47.12,52.47,47.90,74.53995264,6.49,6.61,6.90,7.21,7.42
E06000010,Kingston upon Hull,41.24,29.21,27.72,25.83,26.80,43.77,49.75,57.40,54.87,67.00685813,5.54,5.93,6.11,6.23,6.34
E06000011,East Riding of Yorkshire,15.79,16.57,15.11,15.06,15.72,59.08,59.45,59.27,60.42,70.4482477,5.95,6.23,6.49,6.76,6.94
E06000012,North East Lincolnshire,30.90,25.57,24.70,23.82,22.79,55.40,52.08,57.47,54.00,69.30342534,6.16,6.38,6.59,6.86,7.05
E06000013,North Lincolnshire,21.36,23.96,22.23,18.94,20.96,55.53,49.21,53.33,56.76,69.58094296,6.33,6.60,6.93,7.20,7.44
E06000014,York,12.22,17.01,18.72,17.24,14.63,61.54,66.16,62.18,69.83,56.87544427,4.34,4.50,4.93,4.74,4.82
E06000015,Derby,27.79,19.58,21.52,17.60,18.68,55.85,56.77,58.91,58.31,64.80327,6.46,6.75,6.89,7.05,7.14
E06000016,Leicester,33.07,21.05,21.70,19.21,20.03,49.98,48.41,52.16,50.05,60.19591821,7.01,7.28,8.42,8.66,8.86
E06000017,Rutland,9.62,10.97,11.93,13.65,11.60,60.43,65.91,64.60,65.27,67.04858653,5.15,5.64,6.66,6.84,6.75
E06000018,Nottingham,36.93,24.18,25.42,24.98,24.05,51.90,52.39,56.54,54.97,62.27463227,4.91,5.05,5.20,5.18,5.36
E06000019,Herefordshire,19.74,16.64,16.60,14.61,17.53,56.90,60.44,61.31,63.33,65.18257425,5.77,5.90,6.06,6.28,6.40
E06000020,Telford and Wrekin,24.85,21.92,21.00,19.98,18.21,51.52,48.89,55.53,53.80,71.91955484,5.83,6.08,6.33,6.51,6.62
E06000021,Stoke-on-Trent,34.36,24.27,18.94,17.98,18.79,50.16,45.64,51.62,48.23,68.58283315,6.93,6.98,7.16,7.33,7.64
E06000022,Bath and North East Somerset,12.09,18.75,15.75,16.09,13.73,61.33,63.04,64.01,69.47,59.25236775,4.36,4.44,4.59,4.61,4.60
E06000023,Bristol,27.16,21.07,20.62,20.47,18.12,55.37,58.13,61.26,62.21,56.87796708,4.52,4.61,4.74,4.77,4.96
E06000024,North Somerset,15.78,16.20,15.83,12.32,11.63,56.54,57.23,61.76,60.91,62.71366486,5.22,5.36,5.54,5.70,5.82
E06000025,South Gloucestershire,11.36,16.99,16.86,13.80,12.27,58.89,57.46,59.05,60.06,63.21547193,4.85,5.04,5.18,5.36,5.54
E06000026,Plymouth,26.64,24.06,22.65,22.28,20.61,59.19,51.79,50.95,56.15,62.44749785,5.11,5.31,5.54,5.63,6.03
E06000027,Torbay,28.79,20.88,16.90,20.85,17.04,52.40,52.83,52.44,53.65,68.14114481,5.79,6.08,6.38,6.48,6.87
E06000028,Bournemouth,21.85,20.33,17.54,17.56,18.80,64.11,57.27,55.01,52.89,60.6880186,4.82,4.99,5.09,5.12,5.17
E06000029,Poole,15.22,19.51,17.56,15.88,16.29,51.89,62.05,61.73,58.35,62.30391914,5.69,5.89,6.10,6.21,6.32
E06000030,Swindon,17.86,20.42,18.83,17.99,18.68,52.90,51.57,55.89,56.41,69.54674685,5.56,5.93,6.43,6.57,6.89
E06000031,Peterborough,27.66,20.68,19.57,17.63,18.13,56.59,54.60,52.18,54.72,68.86084238,5.82,5.95,6.18,6.29,6.46
E06000032,Luton,27.58,20.89,19.09,21.26,15.81,48.05,52.29,45.12,53.21,63.86449605,6.63,6.94,7.20,7.46,7.60
E06000033,Southend-on-Sea,24.52,18.93,20.09,19.41,18.81,53.47,55.56,52.07,56.29,66.84833357,5.36,5.54,5.92,6.20,6.32
E06000034,Thurrock,21.60,19.44,19.54,20.86,21.29,53.39,52.41,52.79,52.80,70.41672729,5.75,5.94,6.09,6.18,6.31
E06000035,Medway,22.33,25.49,22.98,22.18,22.29,53.37,48.51,54.24,53.35,66.76794976,6.33,6.57,6.71,6.66,6.87
E06000036,Bracknell Forest,10.46,19.36,16.23,16.85,16.70,60.24,62.51,59.70,63.75,61.36827134,4.72,4.89,5.07,5.21,5.34
E06000037,West Berkshire,10.24,18.08,16.35,15.60,14.12,58.69,55.42,61.65,62.56,63.9961656,4.01,4.15,4.37,4.58,4.73
E06000038,Reading,19.32,20.62,20.37,18.74,17.64,59.75,56.59,54.67,59.27,61.04405638,4.29,4.38,4.47,4.56,4.72
E06000039,Slough,22.87,21.39,21.54,19.35,18.22,49.14,52.74,52.53,49.84,63.29137978,7.50,7.60,7.78,8.15,8.41
E06000040,Windsor and Maidenhead,8.86,14.69,15.21,12.09,13.03,68.47,60.60,63.19,61.34,60.1782758,4.53,4.67,4.83,4.92,4.97
E06000041,Wokingham,5.65,12.72,11.15,9.45,9.53,65.96,62.30,66.02,63.91,62.04113096,4.01,4.20,4.27,4.48,4.56
E06000042,Milton Keynes,18.03,18.42,20.01,19.35,16.42,57.44,56.83,58.69,56.27,69.06237419,4.68,4.91,5.14,5.38,5.52
E06000043,Brighton and Hove,23.44,24.73,26.07,24.42,20.86,63.44,63.82,56.22,68.42,52.42755536,3.81,3.99,4.16,4.14,4.14
E06000044,Portsmouth,27.05,24.08,22.04,21.48,19.80,51.04,51.14,61.07,60.48,63.18073938,4.91,5.06,5.29,5.44,5.57
E06000045,Southampton,26.88,21.34,21.39,20.38,20.46,56.05,58.57,54.80,54.19,62.20225847,4.88,5.10,5.37,5.35,5.46
E06000046,Isle of Wight,23.09,19.40,16.40,16.77,16.39,56.83,55.93,53.20,55.87,66.19690487,5.72,6.00,6.24,6.43,6.60
E06000047,County Durham,25.74,22.24,22.09,20.32,19.00,52.23,51.40,55.49,57.31,68.98242696,6.27,6.54,6.77,6.89,6.98
E06000049,Cheshire East,14.13,15.90,16.06,11.49,12.47,62.61,56.23,56.36,60.07,66.56260903,5.60,5.79,5.91,6.03,6.10
E06000050,Cheshire West and Chester,18.09,14.73,17.38,19.36,13.12,55.71,57.87,63.90,60.38,64.56803374,5.51,5.69,5.95,6.13,6.39
E06000051,Shropshire,16.69,18.96,16.53,15.10,14.57,58.03,60.61,63.24,62.16,65.21710534,5.38,5.60,5.78,6.05,6.17
E06000052,Cornwall,23.83,20.51,18.09,18.41,18.17,53.86,60.89,58.56,54.68,69.88094099,5.46,5.60,5.81,5.96,6.24
E06000054,Wiltshire,13.47,16.92,17.18,17.67,14.31,57.55,58.12,63.98,59.99,63.59417214,5.03,5.22,5.43,5.64,5.80
E06000055,Bedford,19.24,16.95,15.63,13.51,17.20,58.53,61.76,59.38,59.78,63.51771467,6.17,6.33,6.60,6.78,6.85
E06000056,Central Bedfordshire,12.20,18.21,18.67,18.52,16.64,55.82,53.80,60.90,66.89,69.08907204,5.30,5.52,5.69,5.89,6.00
E06000057,Northumberland,20.53,18.08,17.61,16.58,16.63,59.49,51.86,49.89,55.20,69.47833687,6.38,6.61,6.84,7.13,7.30
